,Show ID,Pais
0,s1,United States
9,s10,United States
15,s16,United States
27,s28,United States
28,s29,United States
40,s41,United States
41,s42,United States
42,s43,United States
43,s44,United States
44,s45,United States
48,s49,United States
55,s56,United States
67,s68,United States
81,s82,United States
82,s83,United States
96,s97,United States
97,s98,United States
101,s102,United States
106,s107,United States
107,s108,United States
125,s126,United States
131,s132,United States
138,s139,United States
139,s140,United States
143,s144,United States
144,s145,United States
145,s146,United States
146,s147,United States
149,s150,United States
150,s151,United States
152,s153,United States
156,s157,United States
158,s159,United States
160,s161,United States
161,s162,United States
163,s164,United States
164,s165,United States
168,s169,United States
169,s170,United States
170,s171,United States
171,s172,United States
173,s174,United States
174,s175,United States
175,s176,United States
176,s177,United States
178,s179,United States
179,s180,United States
182,s183,United States
183,s184,United States
184,s185,United States
220,s221,United States
227,s228,United States
229,s230,United States
231,s232,United States
232,s233,United States
241,s242,United States
247,s248,United States
251,s252,United States
254,s255,United States
263,s264,United States
264,s265,United States
271,s272,United States
272,s273,United States
274,s275,United States
280,s281,United States
286,s287,United States
290,s291,United States
295,s296,United States
307,s308,United States
308,s309,United States
310,s311,United States
312,s313,United States
314,s315,United States
317,s318,United States
323,s324,United States
325,s326,United States
326,s327,United States
333,s334,United States
334,s335,United States
335,s336,United States
341,s342,United States
342,s343,United States
343,s344,United States
344,s345,United States
346,s347,United States
349,s350,United States
350,s351,United States
353,s354,United States
354,s355,United States
355,s356,United States
358,s359,United States
359,s360,United States
360,s361,United States
361,s362,United States
370,s371,United States
378,s379,United States
380,s381,United States
382,s383,United States
390,s391,United States
392,s393,United States
403,s404,United States
425,s426,United States
433,s434,United States
437,s438,United States
440,s441,United States
445,s446,United States
446,s447,United States
447,s448,United States
448,s449,United States
449,s450,United States
450,s451,United States
451,s452,United States
459,s460,United States
462,s463,United States
472,s473,United States
473,s474,United States
477,s478,United States
488,s489,United States
491,s492,United States
492,s493,United States
494,s495,United States
499,s500,United States
509,s510,United States
511,s512,United States
513,s514,United States
520,s521,United States
526,s527,United States
530,s531,United States
532,s533,United States
547,s548,United States
548,s549,United States
558,s559,United States
561,s562,United States
562,s563,United States
563,s564,United States
564,s565,United States
567,s568,United States
568,s569,United States
575,s576,United States
579,s580,United States
581,s582,United States
582,s583,United States
584,s585,United States
588,s589,United States
591,s592,United States
592,s593,United States
593,s594,United States
596,s597,United States
597,s598,United States
599,s600,United States
600,s601,United States
601,s602,United States
602,s603,United States
603,s604,United States
605,s606,United States
607,s608,United States
615,s616,United States
618,s619,United States
620,s621,United States
622,s623,United States
628,s629,United States
630,s631,United States
638,s639,United States
643,s644,United States
648,s649,United States
657,s658,United States
660,s661,United States
662,s663,United States
667,s668,United States
668,s669,United States
674,s675,United States
676,s677,United States
678,s679,United States
680,s681,United States
685,s686,United States
702,s703,United States
708,s709,United States
713,s714,United States
716,s717,United States
718,s719,United States
719,s720,United States
721,s722,United States
722,s723,United States
723,s724,United States
726,s727,United States
727,s728,United States
728,s729,United States
740,s741,United States
746,s747,United States
748,s749,United States
749,s750,United States
757,s758,United States
763,s764,United States
774,s775,United States
775,s776,United States
776,s777,United States
777,s778,United States
779,s780,United States
785,s786,United States
786,s787,United States
787,s788,United States
788,s789,United States
790,s791,United States
791,s792,United States
792,s793,United States
793,s794,United States
795,s796,United States
796,s797,United States
797,s798,United States
798,s799,United States
799,s800,United States
800,s801,United States
801,s802,United States
809,s810,United States
810,s811,United States
812,s813,United States
814,s815,United States
817,s818,United States
818,s819,United States
819,s820,United States
822,s823,United States
823,s824,United States
824,s825,United States
825,s826,United States
826,s827,United States
828,s829,United States
830,s831,United States
834,s835,United States
846,s847,United States
848,s849,United States
853,s854,United States
855,s856,United States
862,s863,United States
863,s864,United States
865,s866,United States
866,s867,United States
867,s868,United States
870,s871,United States
872,s873,United States
879,s880,United States
883,s884,United States
889,s890,United States
890,s891,United States
896,s897,United States
900,s901,United States
901,s902,United States
904,s905,United States
907,s908,United States
908,s909,United States
910,s911,United States
916,s917,United States
917,s918,United States
919,s920,United States
921,s922,United States
922,s923,United States
924,s925,United States
926,s927,United States
928,s929,United States
930,s931,United States
931,s932,United States
935,s936,United States
943,s944,United States
948,s949,United States
951,s952,United States
952,s953,United States
953,s954,United States
956,s957,United States
969,s970,United States
970,s971,United States
975,s976,United States
993,s994,United States
1011,s1012,United States
1015,s1016,United States
1024,s1025,United States
1026,s1027,United States
1029,s1030,United States
1034,s1035,United States
1036,s1037,United States
1039,s1040,United States
1042,s1043,United States
1043,s1044,United States
1045,s1046,United States
1046,s1047,United States
1052,s1053,United States
1053,s1054,United States
1055,s1056,United States
1057,s1058,United States
1059,s1060,United States
1061,s1062,United States
1063,s1064,United States
1068,s1069,United States
1070,s1071,United States
1081,s1082,United States
1083,s1084,United States
1088,s1089,United States
1089,s1090,United States
1100,s1101,United States
1102,s1103,United States
1106,s1107,United States
1112,s1113,United States
1113,s1114,United States
1121,s1122,United States
1124,s1125,United States
1126,s1127,United States
1127,s1128,United States
1128,s1129,United States
1133,s1134,United States
1135,s1136,United States
1139,s1140,United States
1140,s1141,United States
1142,s1143,United States
1143,s1144,United States
1150,s1151,United States
1152,s1153,United States
1154,s1155,United States
1156,s1157,United States
1157,s1158,United States
1158,s1159,United States
1168,s1169,United States
1171,s1172,United States
1178,s1179,United States
1181,s1182,United States
1187,s1188,United States
1189,s1190,United States
1191,s1192,United States
1195,s1196,United States
1199,s1200,United States
1200,s1201,United States
1204,s1205,United States
1213,s1214,United States
1218,s1219,United States
1222,s1223,United States
1231,s1232,United States
1239,s1240,United States
1240,s1241,United States
1241,s1242,United States
1242,s1243,United States
1243,s1244,United States
1245,s1246,United States
1248,s1249,United States
1253,s1254,United States
1254,s1255,United States
1259,s1260,United States
1264,s1265,United States
1272,s1273,United States
1274,s1275,United States
1275,s1276,United States
1277,s1278,United States
1278,s1279,United States
1283,s1284,United States
1288,s1289,United States
1297,s1298,United States
1300,s1301,United States
1302,s1303,United States
1303,s1304,United States
1304,s1305,United States
1306,s1307,United States
1307,s1308,United States
1309,s1310,United States
1310,s1311,United States
1313,s1314,United States
1314,s1315,United States
1318,s1319,United States
1324,s1325,United States
1327,s1328,United States
1328,s1329,United States
1330,s1331,United States
1331,s1332,United States
1332,s1333,United States
1335,s1336,United States
1341,s1342,United States
1343,s1344,United States
1348,s1349,United States
1350,s1351,United States
1352,s1353,United States
1353,s1354,United States
